order,clade_path,source
Lycopodiales,Lycophytes,PPG I 2016 (doi:10.1111/jse.12229)
Isoetales,Lycophytes,PPG I 2016 (doi:10.1111/jse.12229)
Selaginellales,Lycophytes,PPG I 2016 (doi:10.1111/jse.12229)
Equisetales,Ferns,PPG I 2016 (doi:10.1111/jse.12229)
Ophioglossales,Ferns,PPG I 2016 (doi:10.1111/jse.12229)
Psilotales,Ferns,PPG I 2016 (doi:10.1111/jse.12229)
Marattiales,Ferns,PPG I 2016 (doi:10.1111/jse.12229)
Osmundales,Ferns,PPG I 2016 (doi:10.1111/jse.12229)
Hymenophyllales,Ferns,PPG I 2016 (doi:10.1111/jse.12229)
Gleicheniales,Ferns,PPG I 2016 (doi:10.1111/jse.12229)
Schizaeales,Ferns,PPG I 2016 (doi:10.1111/jse.12229)
Salviniales,Ferns,PPG I 2016 (doi:10.1111/jse.12229)
Cyatheales,Ferns,PPG I 2016 (doi:10.1111/jse.12229)
Polypodiales,Ferns,PPG I 2016 (doi:10.1111/jse.12229)
Cycadales,Gymnosperms,Christenhusz et al. 2011 Phytotaxa 19: 55-70 (doi:10.11646/phytotaxa.19.1.3); gymnosperms are outside APG IV
Gnetales,Gymnosperms,Christenhusz et al. 2011 Phytotaxa 19: 55-70 (doi:10.11646/phytotaxa.19.1.3); gymnosperms are outside APG IV
Ephedrales,Gymnosperms,Christenhusz et al. 2011 Phytotaxa 19: 55-70 (doi:10.11646/phytotaxa.19.1.3); gymnosperms are outside APG IV
Pinales,Gymnosperms,Christenhusz et al. 2011 Phytotaxa 19: 55-70 (doi:10.11646/phytotaxa.19.1.3); gymnosperms are outside APG IV
Nymphaeales,Angiosperms > ANA grade,APG IV 2016 (doi:10.1111/boj.12385)
Chloranthales,Angiosperms,APG IV 2016 (doi:10.1111/boj.12385)
Canellales,Angiosperms > Magnoliids,APG IV 2016 (doi:10.1111/boj.12385)
Piperales,Angiosperms > Magnoliids,APG IV 2016 (doi:10.1111/boj.12385)
Magnoliales,Angiosperms > Magnoliids,APG IV 2016 (doi:10.1111/boj.12385)
Laurales,Angiosperms > Magnoliids,APG IV 2016 (doi:10.1111/boj.12385)
Alismatales,Angiosperms > Monocots,APG IV 2016 (doi:10.1111/boj.12385)
Dioscoreales,Angiosperms > Monocots,APG IV 2016 (doi:10.1111/boj.12385)
Pandanales,Angiosperms > Monocots,APG IV 2016 (doi:10.1111/boj.12385)
Liliales,Angiosperms > Monocots,APG IV 2016 (doi:10.1111/boj.12385)
Asparagales,Angiosperms > Monocots,APG IV 2016 (doi:10.1111/boj.12385)
Arecales,Angiosperms > Monocots,APG IV 2016 (doi:10.1111/boj.12385)
Commelinales,Angiosperms > Monocots,APG IV 2016 (doi:10.1111/boj.12385)
Zingiberales,Angiosperms > Monocots,APG IV 2016 (doi:10.1111/boj.12385)
Poales,Angiosperms > Monocots,APG IV 2016 (doi:10.1111/boj.12385)
Ranunculales,Angiosperms > Eudicots,APG IV 2016 (doi:10.1111/boj.12385)
Proteales,Angiosperms > Eudicots,APG IV 2016 (doi:10.1111/boj.12385)
Buxales,Angiosperms > Eudicots,APG IV 2016 (doi:10.1111/boj.12385)
Gunnerales,Angiosperms > Eudicots,APG IV 2016 (doi:10.1111/boj.12385)
