order,phylum,class,n_occurrences,conflicts
Abrothallales,Ascomycota,Dothideomycetes,18,
Acarosporales,Ascomycota,Lecanoromycetes,62,
Agaricales,Basidiomycota,Agaricomycetes,784,
Agaricostilbales,Basidiomycota,Agaricostilbomycetes,2,
Amphisphaeriales,Ascomycota,Sordariomycetes,55,
Amylocorticiales,Basidiomycota,Agaricomycetes,1,
Annulatascales,Ascomycota,Sordariomycetes,1,
Archaeosporales,Glomeromycota,Glomeromycetes,23,
Arctomiales,Ascomycota,Lecanoromycetes,4,
Arthoniales,Ascomycota,Arthoniomycetes,505,
Asterinales,Ascomycota,Dothideomycetes,25,
Atractiellales,Basidiomycota,Atractiellomycetes,7,
Auriculariales,Basidiomycota,Agaricomycetes,111,
Baeomycetales,Ascomycota,Lecanoromycetes,29,
Blastocladiales,Blastocladiomycota,Blastocladiomycetes,1,
Boletales,Basidiomycota,Agaricomycetes,23,
Boliniales,Ascomycota,Sordariomycetes,1,
Botryosphaeriales,Ascomycota,Dothideomycetes,49,
Caliciales,Ascomycota,Lecanoromycetes,597,
Candelariales,Ascomycota,Candelariomycetes,134,
Cantharellales,Basidiomycota,Agaricomycetes,31,
Capnodiales,Ascomycota,Dothideomycetes,38,
Chaetosphaeriales,Ascomycota,Sordariomycetes,35,
Chaetothyriales,Ascomycota,Eurotiomycetes,80,
Chytridiales,Chytridiomycota,Chytridiomycetes,23,
Collemopsidiales,Ascomycota,Dothideomycetes,6,
Coniochaetales,Ascomycota,Sordariomycetes,3,
Coniocybales,Ascomycota,Coniocybomycetes,12,
Cordanales,Ascomycota,Sordariomycetes,7,
Coronophorales,Ascomycota,Sordariomycetes,1,
Corticiales,Basidiomycota,Agaricomycetes,10,
Coryneliales,Ascomycota,Eurotiomycetes,1,
Cyphobasidiales,Basidiomycota,Cystobasidiomycetes,1,
Cystobasidiales,Basidiomycota,Cystobasidiomycetes,2,
Cystofilobasidiales,Basidiomycota,Tremellomycetes,1,
Dacrymycetales,Basidiomycota,Dacrymycetes,32,
Diaporthales,Ascomycota,Sordariomycetes,38,
Diversisporales,Glomeromycota,Glomeromycetes,47,
Dothideales,Ascomycota,Dothideomycetes,39,
Endogonales,Mucoromycota,Endogonomycetes,2,
Entomophthorales,Entomophthoromycota,Entomophthoromycetes,1,
Entrophosporales,Glomeromycota,Glomeromycetes,24,
Eurotiales,Ascomycota,Eurotiomycetes,100,
Exobasidiales,Basidiomycota,Exobasidiomycetes,9,
Filobasidiales,Basidiomycota,Tremellomycetes,3,
Geastrales,Basidiomycota,Agaricomycetes,14,
Geminibasidiales,Basidiomycota,Wallemiomycetes,2,
Geoglossales,Ascomycota,Geoglossomycetes,1,
Gloeophyllales,Basidiomycota,Agaricomycetes,19,
Glomerales,Glomeromycota,Glomeromycetes,80,
Glomerellales,Ascomycota,Sordariomycetes,146,
Gomphales,Basidiomycota,Agaricomycetes,1,
Graphidales,Ascomycota,Lecanoromycetes,1,
Gyalectales,Ascomycota,Lecanoromycetes,1,
Helotiales,Ascomycota,Leotiomycetes,194,
Holtermanniales,Basidiomycota,Tremellomycetes,2,
Hymeneliales,Ascomycota,Lecanoromycetes,2,
Hymenochaetales,Basidiomycota,Agaricomycetes,122,
Hypocreales,Ascomycota,Sordariomycetes,1508,
Jahnulales,Ascomycota,Dothideomycetes,10,
Laboulbeniales,Ascomycota,Laboulbeniomycetes,2,
Lecanorales,Ascomycota,Lecanoromycetes,2692,
Lecideales,Ascomycota,Lecanoromycetes,62,
Lichenostigmatales,Ascomycota,Arthoniomycetes,4,
Lichenotheliales,Ascomycota,Dothideomycetes,2,
Lichinales,Ascomycota,Lichinomycetes,24,
Lichinodiales,Ascomycota,Leotiomycetes,2,
Lobulomycetales,Chytridiomycota,Lobulomycetes,2,
Magnaporthales,Ascomycota,Sordariomycetes,4,
Malasseziales,Basidiomycota,Malasseziomycetes,10,
Melanosporales,Ascomycota,Sordariomycetes,1,
Meliolales,Ascomycota,Sordariomycetes,38,
Microascales,Ascomycota,Sordariomycetes,11,
Microbotryales,Basidiomycota,Microbotryomycetes,1,
Microstromatales,Basidiomycota,Exobasidiomycetes,2,
Microthyriales,Ascomycota,Dothideomycetes,6,
Monoblastiales,Ascomycota,Dothideomycetes,4,
Mortierellales,Mucoromycota,Mortierellomycetes,21,
Mucorales,Mucoromycota,Mucoromycetes,88,
Muyocopronales,Ascomycota,Dothideomycetes,3,
Mycocaliciales,Ascomycota,Eurotiomycetes,3,
Mycosphaerellales,Ascomycota,Dothideomycetes,89,
Myriangiales,Ascomycota,Dothideomycetes,2,
Mytilinidiales,Ascomycota,Dothideomycetes,5,
Natipusillales,Ascomycota,Dothideomycetes,2,
Olpidiales,Chytridiomycota,Chytridiomycetes,1,
Onygenales,Ascomycota,Eurotiomycetes,9,
Orbiliales,Ascomycota,Orbiliomycetes,21,
Ostropales,Ascomycota,Lecanoromycetes,210,
Paraglomerales,Glomeromycota,Glomeromycetes,11,
Peltigerales,Ascomycota,Lecanoromycetes,713,
Pertusariales,Ascomycota,Lecanoromycetes,205,
Pezizales,Ascomycota,Pezizomycetes,134,
Phacidiales,Ascomycota,Leotiomycetes,1,
Phallales,Basidiomycota,Agaricomycetes,54,
Phomatosporales,Ascomycota,Sordariomycetes,1,
Phyllachorales,Ascomycota,Sordariomycetes,49,
Pleosporales,Ascomycota,Dothideomycetes,240,
Polyporales,Basidiomycota,Agaricomycetes,823,
Pucciniales,Basidiomycota,Pucciniomycetes,321,
Pyrenulales,Ascomycota,Eurotiomycetes,5,
Rhizocarpales,Ascomycota,Lecanoromycetes,18,
Rhizophydiales,Chytridiomycota,Rhizophydiomycetes,50,
Russulales,Basidiomycota,Agaricomycetes,55,
Saccharomycetales,Ascomycota,Saccharomycetes,451,
Schaereriales,Ascomycota,Lecanoromycetes,1,
Sclerococcales,Ascomycota,Eurotiomycetes,2,
Sebacinales,Basidiomycota,Agaricomycetes,2,
Septobasidiales,Basidiomycota,Pucciniomycetes,2,
Sordariales,Ascomycota,Sordariomycetes,112,
Spizellomycetales,Chytridiomycota,Chytridiomycetes,7,
Sporidiobolales,Basidiomycota,Microbotryomycetes,44,
Stereopsidales,Basidiomycota,Agaricomycetes,2,
Strigulales,Ascomycota,Dothideomycetes,12,
Taphrinales,Ascomycota,Taphrinomycetes,9,
Teloschistales,Ascomycota,Lecanoromycetes,357,
Thelephorales,Basidiomycota,Agaricomycetes,13,
Tilletiales,Basidiomycota,Exobasidiomycetes,1,
Torpedosporales,Ascomycota,Sordariomycetes,3,
Trechisporales,Basidiomycota,Agaricomycetes,7,
Tremellales,Basidiomycota,Tremellomycetes,182,
Trichosphaeriales,Ascomycota,Sordariomycetes,7,
Trichosporonales,Basidiomycota,Tremellomycetes,123,
Trypetheliales,Ascomycota,Dothideomycetes,23,
Tubeufiales,Ascomycota,Dothideomycetes,1,
Umbelopsidales,Mucoromycota,Umbelopsidomycetes,11,
Umbilicariales,Ascomycota,Lecanoromycetes,117,
Urocystidales,Basidiomycota,Ustilaginomycetes,6,
Ustilaginales,Basidiomycota,Ustilaginomycetes,66,
Valsariales,Ascomycota,Dothideomycetes,1,
Venturiales,Ascomycota,Dothideomycetes,11,
Verrucariales,Ascomycota,Eurotiomycetes,33,
Xylariales,Ascomycota,Sordariomycetes,197,
Xylobotryales,Ascomycota,Xylobotryomycetes,2,
Xylonales,Ascomycota,Xylonomycetes,4,
Zoopagales,Zoopagomycota,Zoopagomycetes,3,
